Syllable,pt_1_freq,pt_1_amp,pt_2_freq,pt_2_amp,pt_3_freq,pt_3_amp,pt_4_freq,pt_4_amp,pt_5_freq,pt_5_amp,pt_6_freq,pt_6_amp,pt_7_freq,pt_7_amp,pt_8_freq,pt_8_amp,pt_9_freq,pt_9_amp,pt_10_freq,pt_10_amp,pt_11_freq,pt_11_amp,pt_12_freq,pt_12_amp,pt_13_freq,pt_13_amp,pt_14_freq,pt_14_amp,pt_15_freq,pt_15_amp,pt_16_freq,pt_16_amp,pt_17_freq,pt_17_amp,pt_18_freq,pt_18_amp
0,5733.67012038953,33.27894536999688,6421.998489604999,25.152991687347743,6633.583086453451,19.613544997755803,6144.250628476577,26.06752135004808,4174.08016715014,25.507756470773195,4604.0494518553105,20.345801005724965,4992.322859869231,19.444843527199566,4776.720734958879,18.424961733904127,4812.32962253306,23.438466092739723,6130.161653009611,25.192398198675164,5279.9059746199655,19.89316252422677,5612.228316793942,18.989748379814067,5681.740306956859,16.593349009214325,6375.934506052567,20.027994491051935,6093.238932402617,24.811035404136465,5787.211575660665,22.31034376302781,5011.459054889026,19.740324554030217,6090.887361952738,21.158871010322432
1,6831.0249309512765,29.00355931316934,6296.535510559961,26.369258578230696,6144.720850358527,23.636165761366122,5320.987669259774,17.053782629749332,5288.224864081,13.934161228377645,5557.984982904385,18.606534781979352,5059.9341661901735,18.48765832819837,4924.763838269462,16.78397800864243,5300.304322189403,13.641911947145694,5774.242280300246,15.758072813955847,4721.634386143147,20.44498109235996,5296.858507938731,16.30395563637338,5101.484099162081,15.052529586524498,5996.551869533453,12.655303882610472,5694.423152170373,18.142395743509617,5267.062556628017,17.991399669065707,5244.6735887966315,18.19934426687409,5269.136791541573,20.14398266920229
2,5394.9380892108675,26.103550382760854,5994.206945127454,22.66854551233397,5888.7037376547505,21.344307694698404,5630.521067978813,15.949248289038067,5238.489891138997,13.144564140062391,6180.344630941061,17.38182768061117,5563.377631233202,17.416889956547664,5092.360770799486,13.295424389692903,4149.903072297692,12.69896333056725,4497.954856186871,13.75193826552549,5655.262684466261,20.280810844678822,6321.016713702943,16.154099183579895,5054.390453078996,14.718917445902443,6611.327065381126,12.096346266086284,6517.920882583587,17.196892088176284,5296.994486092312,17.764314900146672,5119.623454179375,17.08568195331316,5371.649638069626,21.058939082490888
3,5416.139935278621,24.272028315358046,5482.626243465112,22.786716138444294,6366.905810784391,21.07789198654454,6801.5465597523325,15.160427818182391,5464.127059344351,13.247736336254492,4673.008032565104,16.078756942981627,5644.172153364071,16.518588713961893,4330.840736172058,12.407088601007693,5572.708821403591,12.187217580109108,5445.2582939273525,13.550887117994593,4376.848542336486,20.105010826413224,5316.082260646807,15.097051348628067,6034.61219890485,13.208592880062941,6234.106571075314,13.307870390929711,6221.217677291432,17.369695393050588,4902.233002299978,16.976242255873796,4956.328924713256,16.766570065159204,5513.499532928712,22.750484978280415
4,5317.103564210985,24.77672974656268,5328.008166964729,21.71867133931416,5592.287896332172,21.289725379246036,5212.296789458745,14.815546767689899,5586.84634458542,13.107853428619665,6097.659493690472,18.199709921348386,5521.0832795207625,16.447463242840985,6048.2918756950685,13.230201959609985,5315.5056471696425,13.034355864292237,5294.080628342757,13.362638205380426,6070.035025344351,20.029483068280104,5855.82291926029,14.467092737918946,5842.425841259077,12.53001383310411,5235.723375333477,13.653019529707889,4984.200152796269,17.72332301227058,5955.690619621132,17.49463392030902,5681.353140128046,17.17635847514886,5162.1392693684265,23.81790901393425
5,3320.704006408461,24.78371929800809,3225.483674307173,23.906386388289906,3464.59137374448,21.227112735234773,3623.5600470632644,30.76513302165419,3382.817679226863,23.45900720999791,2916.2454201433256,20.531417425886975,4601.812976591596,24.040759468813622,4284.874712999551,27.997645345100988,4547.482317695947,30.550253315008675,4827.434719610179,18.162988827778744,4295.9978754421545,15.625548450014264,4324.880693680171,12.871430645558645,3541.573711000628,10.554357695121032,3367.5625944800595,12.558903515453743,4006.9544295423825,22.7429859569307,3734.9722484189806,22.55852807668539,4062.440932742027,24.23125120026987,3709.119320015533,27.088078777606672
6,3612.37675687057,21.39630067131736,3297.915737577861,25.054905162477063,3373.643137965745,24.476816713269745,3949.752182165722,28.822098429469545,3645.370972842207,31.79006833741159,4024.4228927328068,32.7839934242456,3952.3595319383344,27.246241013449126,4206.84041032357,21.204074689628854,4335.28723092786,16.05627597173055,4240.906374507636,12.816929227996088,4295.9645218471305,12.594000647075227,4495.133821668365,12.271808059554086,5162.758908644799,8.953598267743082,5338.714833780652,13.288755375092844,4267.399844140738,16.047412620210217,4124.020751520793,21.233546726653223,4437.312147831194,18.48351727398959,4783.766573687503,19.661964502939647
7,3851.2856462321733,21.448033792216602,5187.522172597341,23.966940760612488,4636.705437263929,24.922010793918517,3061.8710423222938,28.904790715968357,3478.0292941208545,30.757081811021013,4977.823184672664,32.83960529653037,4749.71056258094,26.519833187926505,3711.1550380256467,20.712596710135298,5434.245177999224,16.13936010366533,5686.534163095753,12.81084743459174,5374.3740816873105,14.230567007530027,5640.8117839013685,11.65881301426306,5609.460830464162,10.155336461052663,4628.258539890934,13.899837431574303,3769.2835739247853,17.733711404044453,4516.27058640241,22.87506740558438,4752.364231706489,19.703177811526963,4637.18873009892,21.135500108323445
8,3472.1714822212525,22.7465426224034,3476.109041229231,25.528573606072403,3923.530447381024,25.488180323344906,3169.6251412398733,27.64925686566663,3414.8600720838413,30.548779144519713,3601.83102432073,34.09052321969009,4851.961343214354,27.816297705050296,5324.580537927118,21.747231390418076,4618.905185755853,15.569997323722374,3971.590041832725,12.047323503755146,4495.3590668273555,13.417134485593657,4058.8908555138764,11.927963474901711,5036.031408900703,10.960555405151553,3429.3878285977494,14.73145655947978,4472.887771279082,18.760488088538008,3522.243776797846,21.875244280187093,3675.6932965849287,20.683405032636184,3537.49773614092,21.539416644631363
9,5931.448678630151,24.49106038075227,6001.486743332364,32.17282959131094,6515.907910499009,30.512113314408523,7234.558944217872,24.926091655019366,6734.616930378272,22.469179960397575,6986.007147658281,22.275918061916645,6311.681111340557,22.789576085714195,5977.321725965887,21.80497040360738,6385.169668216187,22.28830209145179,6405.665727767323,23.16141340824274,6086.918490638661,27.39356106061202,5213.895523923088,30.79831835185512,5745.01719334368,24.402958755309765,5618.556170415312,16.705128633058987,5468.89036796086,18.806167464989883,5725.562529463879,20.130588864595698,5493.061624213626,18.03274406836583,6148.974013614432,19.670066750966587
